"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG","Real-Time"
"222","Calvin Ridley","TEN ","9","WR75","251","155","203.0","209  +13"
"223","Tre' Harris","LAC ","7","WR76","218","188","203.0","260  -37"
"224","Kaelon Black","SF ","8","RB61","207","203","205.0","204  +20"
"225","Emmett Johnson","KC ","5","RB62","201","215","208.0","230  -5"
"226","Zachariah Branch","ATL ","11","WR77","203","213","208.0","211  +15"
"227","Ray Davis","BUF ","7","RB63","215","205","210.0","183  +44"
"228","Justice Hill","BAL ","13","RB64","242","183","212.5","202  +26"
"229","Jacoby Brissett","ARI ","14","QB29","252","175","213.5","251  -22"
"230","Kansas City Chiefs DST","","5","DST17","206","222","298","242.0","228  +2"
"231","Jake Elliott","PHI ","10","K16","172","264","218.0","267  -36"
"232","Malachi Fields","NYG ","8","WR78","243","193","218.0","240  -8"
"233","New York Giants DST","","8","DST18","176","261","218.5",""
"234","Adonai Mitchell","NYJ ","13","WR79","228","212","220.0","197  +37"
"235","Buffalo Bills DST","","7","DST19","189","252","220.5","263  -28"
"236","Geno Smith","NYJ ","13","QB30","257","189","223.0",""
"237","Cade Otton","TB ","10","TE29","225","221","223.0","262  -25"
"238","Gunnar Helm","TEN ","9","TE30","219","230","224.5","242  -4"
"239","Cairo Santos","CHI ","10","K17","223","241","280","248.0","222  +17"
"240","Caleb Douglas","MIA ","6","WR80","236","219","227.5","233  +7"
"241","Demond Claiborne","MIN ","6","RB65","226","231","228.5","224  +17"
"242","Tua Tagovailoa","ATL ","11","QB31","258","201","229.5",""
"243","Kaytron Allen","WAS ","7","RB66","227","232","229.5","215  +28"
"244","Sean Tucker","TB ","10","RB67","259","202","230.5","247  -3"
"245","Kimani Vidal","LAC ","7","RB68","233","228","230.5","192  +53"
"246","Nick Folk","ATL ","11","K18","173","","173.0",""
"247","Pat Bryant","DEN ","10","WR81","211","258","234.5","210  +37"
"248","Keenan Allen","IND ","13","WR82","237","234","235.5","182  +66"
"249","Cleveland Browns DST","","11","DST20","205","267","236.0","268  -19"
"250","Jaylen Wright","MIA ","6","RB69","234","240","237.0","266  -16"
"251","Trey Smack","GB ","11","K19","188","288","238.0","196  +55"
"252","Shedeur Sanders","CLE ","11","QB32","253","225","239.0",""
"253","Tyler Bass","BUF ","7","K20","207","273","240.0","235  +18"
"254","Jordan James","SF ","8","RB70","244","238","241.0","261  -7"
"255","Trevor Etienne","CAR ","5","RB71","","191","191.0",""
"256","Wil Lutz","DEN ","10","K21","209","284","246.5","236  +20"
"257","Germie Bernard","PIT ","9","WR83","231","266","248.5","248  +9"
"258","Atlanta Falcons DST","","11","DST21","203","","203.0",""
"259","Ryan Flournoy","DAL ","14","WR84","230","269","249.5","218  +41"
"260","Kirk Cousins","LV ","13","QB33","","211","211.0",""
"261","Eli Stowers","PHI ","10","TE31","232","276","254.0","249  +12"
"262","Jake Tonges","SF ","8","TE32","254","254","254.0","256  +6"
"263","Michael Penix Jr.","ATL ","11","QB34","","217","217.0",""
"264","George Holani","SEA ","11","RB72","","218","218.0","243  +21"
"265","Ted Hurst III","TB ","10","WR85","220","307","263.5","213  +52"
"266","Deshaun Watson","CLE ","11","QB35","","223","223.0",""
"267","Antonio Williams","WAS ","7","WR86","229","289","259.0","257  +10"
"268","Ty Johnson","BUF ","7","RB73","","229","229.0",""
"269","Austin Ekeler","RB74","","235","235.0",""
"270","Brandon Aiyuk","SF ","8","WR87","267","263","265.0",""
"271","Keon Coleman","BUF ","7","WR88","246","286","266.0","239  +32"
"272","Colby Parkinson","LAR ","11","TE33","264","270","267.0","258  +14"
"273","Devin Singletary","NYG ","8","RB75","","242","242.0",""
"274","Carson Beck","ARI ","14","QB36","","244","244.0",""
"275","Tampa Bay Buccaneers DST","","10","DST22","","245","245.0",""
"276","J.J. McCarthy","MIN ","6","QB37","","246","246.0",""
"277","Evan Engram","DEN ","10","TE34","","247","247.0",""
"278","Chris Bell","MIA ","6","WR89","248","303","275.5","226  +52"
"279","Jalen Tolbert","MIA ","6","WR90","","249","249.0",""
"280","Darnell Mooney","NYG ","8","WR91","260","285","272.5","252  +28"
"281","Devaughn Vele","NO ","8","WR92","","253","253.0",""
"282","Emanuel Wilson","SEA ","11","RB76","265","283","274.0",""
"283","Samaje Perine","CIN ","6","RB77","","255","255.0","246  +37"
"284","Elijah Sarratt","BAL ","13","WR93","255","314","284.5",""
"285","Rashod Bateman","BAL ","13","WR94","256","299","277.5","250  +35"
"286","Kareem Hunt","RB78","","257","257.0",""
"287","Najee Harris","NYG ","8","RB79","","259","259.0","199  +88"
"288","Justin Fields","KC ","5","QB38","","260","260.0",""
"289","Tory Horton","SEA ","11","WR95","261","295","278.0",""
"290","Theo Johnson","NYG ","8","TE35","262","262.0",""
"291","Ty Simpson","LAR ","11","QB39","","262","262.0",""
"292","Troy Franklin","DEN ","10","WR96","263","316","289.5","241  +51"
"293","Joe Flacco","CIN ","6","QB40","","265","265.0",""
"294","Trey Benson","ARI ","14","RB80","266","323","294.5",""
"295","New Orleans Saints DST","","8","DST23","","268","268.0",""
"296","Tayon Fleet-Davis","RB81","268","268.0",""
"297","Blake Bortles","QB41","270","270.0",""
"298","Gunner Olszewski","NYG ","8","WR97","271","271.0",""
"299","Christian Kirk","SF ","8","WR98","","272","272.0",""
"300","Chris Streveler","QB42","272","272.0",""
"301","Zack Annexstad","QB43","273","273.0",""
"302","Mike Gesicki","CIN ","6","TE36","","274","274.0",""
"303","Julian Edelman","WR99","275","275.0",""
"304","Joey Slye","TEN ","9","K22","","275","275.0",""
"305","Christopher Dunn","K23","276","276.0",""
"306","Charlie Smyth","NO ","8","K24","","277","277.0",""
"307","Joshua Karty","K25","277","277.0",""
"308","Travis Koontz","TE37","278","278.0",""
"309","Josh Rosen","QB44","279","279.0",""
"310","Brayden Narveson","K26","280","280.0",""
"311","Robert Griffin III","QB45","281","281.0",""
"312","Matthew Trickett","K27","282","282.0",""
"313","Camden Lewis","K28","283","283.0",""
"314","Charlie Taumoepeau","TE38","284","284.0",""
"315","Josh McCown","QB46","286","286.0",""
"316","Tennessee Titans DST","","9","DST24","","287","287.0","270  +46"
"317","Austin Aune","QB47","287","287.0",""
"318","Simi Fehoko","ARI ","14","WR100","289","289.0",""
"319","Matt Schaub","QB48","290","290.0",""
"320","Brennan Eagles","WR101","291","291.0",""
"321","Jaylin Noel","HOU ","8","WR102","","291","291.0","269  +52"
"322","Randy Bullock","K29","292","292.0",""
"323","Kaleb Johnson","PIT ","9","RB82","","292","292.0",""
"324","Mason Taylor","NYJ ","13","TE39","","293","293.0",""
"325","Brady Cook","NYJ ","13","QB49","293","293.0",""
"326","Tutu Atwell","MIA ","6","WR103","","294","294.0",""
"327","James Turner","K30","294","294.0",""
"328","Keith Kirkwood","WR104","296","296.0",""
"329","Jerome Ford","WAS ","7","RB83","","296","296.0",""
"330","Hollywood Brown","PHI ","10","WR105","","297","297.0",""
"331","Alex McNulty","K31","297","297.0",""
"332","Vincent Blanchard","K32","299","299.0",""
"333","Cornell Powell","PIT ","9","WR106","300","300.0",""
"334","Ollie Gordon II","MIA ","6","RB84","","300","300.0","205  +129"
"335","Alexander Mattison","RB85","","301","301.0",""
"336","Darren Waller","CAR ","5","TE40","","302","302.0",""
"337","Jack Bech","LV ","13","WR107","","304","304.0",""
"338","Michael Mayer","LV ","13","TE41","","305","305.0",""
"339","Adam Randall","BAL ","13","RB86","","306","306.0",""
"340","Tyquan Thornton","KC ","5","WR108","","308","308.0",""
"341","Andrei Iosivas","CIN ","6","WR109","","309","309.0",""
"342","Xavier Legette","CAR ","5","WR110","","310","310.0",""
"343","Jahan Dotson","ATL ","11","WR111","","311","311.0",""
"344","LeQuint Allen Jr.","JAC ","7","RB87","","312","312.0",""
"345","Brashard Smith","KC ","5","RB88","","313","313.0",""
"346","DJ Giddens","IND ","13","RB89","","315","315.0",""
"347","Chris Brooks","GB ","11","RB90","","317","317.0",""
"348","Joshua Palmer","BUF ","7","WR112","","318","318.0",""
"349","Brenen Thompson","LAC ","7","WR113","","319","319.0",""
"350","Seth McGowan","IND ","13","RB91","","320","320.0",""
"351","Emari Demercado","KC ","5","RB92","","321","321.0",""
"352","Isaiah Davis","NYJ ","13","RB93","","322","322.0",""
"353","Skyler Bell","BUF ","7","WR114","","324","324.0",""
"354","Chimere Dike","TEN ","9","WR115","","325","325.0",""
